game_id,agent_name,max_tile,final_score,moves,time_seconds,won,nodes_explored,avg_time_per_move,timestamp,depth,heuristic,config,alpha_beta,algorithm
0,Expectimax_simple_c1_d3,2048,2136,958,790.0386114120483,True,6325497,0.824674959720301,2025-12-14T11:34:32.820558,3,simple,1,False,expectimax
1,Expectimax_simple_c1_d3,2048,2132,972,818.818192243576,True,6592285,0.8424055475756955,2025-12-14T11:48:11.639168,3,simple,1,False,expectimax
2,Expectimax_simple_c1_d3,1024,2168,977,768.9621918201447,False,6186510,0.7870646794474356,2025-12-14T12:01:00.602355,3,simple,1,False,expectimax
3,Expectimax_simple_c1_d3,2048,2132,967,801.6916100978851,True,6439540,0.829050268974028,2025-12-14T12:14:22.294464,3,simple,1,False,expectimax
4,Expectimax_simple_c1_d3,2048,2202,1000,731.5069053173065,True,5878472,0.7315069053173066,2025-12-14T12:26:33.802356,3,simple,1,False,expectimax
5,Expectimax_simple_c1_d3,1024,1996,895,721.0666627883911,False,5806439,0.8056610757412191,2025-12-14T12:38:34.869784,3,simple,1,False,expectimax
6,Expectimax_simple_c1_d3,1024,2042,923,721.5099837779999,False,5794244,0.7817009575059587,2025-12-14T12:50:36.380768,3,simple,1,False,expectimax
7,Expectimax_simple_c1_d3,1024,2116,963,706.4063546657562,False,5668227,0.7335476164753439,2025-12-14T13:02:22.787603,3,simple,1,False,expectimax
8,Expectimax_simple_c1_d3,512,1084,495,444.4435250759125,False,3605077,0.8978657072240656,2025-12-14T13:09:47.232022,3,simple,1,False,expectimax
9,Expectimax_simple_c1_d3,512,1090,495,409.3343756198883,False,3303386,0.8269381325654309,2025-12-14T13:16:36.566898,3,simple,1,False,expectimax
10,Expectimax_simple_c1_d3,512,1106,496,429.80796241760254,False,3486513,0.8665483113258116,2025-12-14T13:23:46.376173,3,simple,1,False,expectimax
11,Expectimax_simple_c1_d3,2048,2106,954,783.911957025528,True,6327540,0.821710646777283,2025-12-14T13:36:50.288630,3,simple,1,False,expectimax
12,Expectimax_simple_c1_d3,512,1080,492,429.5491337776184,False,3478634,0.8730673450764602,2025-12-14T13:43:59.839090,3,simple,1,False,expectimax
13,Expectimax_simple_c1_d3,2048,2106,953,728.9456098079681,True,5849392,0.7648957080881092,2025-12-14T13:56:08.784699,3,simple,1,False,expectimax
14,Expectimax_simple_c1_d3,1024,1854,849,687.0300583839417,False,5532031,0.8092226836088829,2025-12-14T14:07:35.815893,3,simple,1,False,expectimax
15,Expectimax_simple_c1_d3,512,1104,493,435.1186113357544,False,3515672,0.8825935321212056,2025-12-14T14:14:50.935005,3,simple,1,False,expectimax
16,Expectimax_simple_c1_d3,1024,2050,930,765.3692569732666,False,6168150,0.8229776956701791,2025-12-14T14:27:36.305729,3,simple,1,False,expectimax
17,Expectimax_simple_c1_d3,1024,1926,888,755.2150526046753,False,6102221,0.8504674015818415,2025-12-14T14:40:11.521247,3,simple,1,False,expectimax
18,Expectimax_simple_c1_d3,1024,1622,727,576.5722589492798,False,4631136,0.7930842626537549,2025-12-14T14:49:48.094973,3,simple,1,False,expectimax
19,Expectimax_simple_c1_d3,2048,2206,1011,774.0632936954498,True,6214755,0.7656412400548466,2025-12-14T15:02:42.158591,3,simple,1,False,expectimax
