game_id,agent_name,max_tile,final_score,moves,time_seconds,won,nodes_explored,avg_time_per_move,timestamp,depth,alpha_beta,pruned_nodes,heuristic,config,algorithm
0,Minimax_NoAB_simple_c2_d3,512,1110,496,417.7296984195709,False,3378395,0.8421969726201026,2025-12-14T15:09:39.906897,3,False,0,simple,2,minimax
1,Minimax_NoAB_simple_c2_d3,1024,1558,706,534.7573487758636,False,4309153,0.7574466696541978,2025-12-14T15:18:34.664245,3,False,0,simple,2,minimax
2,Minimax_NoAB_simple_c2_d3,1024,1572,714,561.1288197040558,False,4543301,0.7858947054678652,2025-12-14T15:27:55.793619,3,False,0,simple,2,minimax
3,Minimax_NoAB_simple_c2_d3,256,490,224,213.78246879577637,False,1749884,0.954386021409716,2025-12-14T15:31:29.576088,3,False,0,simple,2,minimax
4,Minimax_NoAB_simple_c2_d3,512,1212,556,450.2827003002167,False,3656274,0.8098609717629797,2025-12-14T15:38:59.859817,3,False,0,simple,2,minimax
5,Minimax_NoAB_simple_c2_d3,1024,1624,740,580.0873610973358,False,4569628,0.7839018393207241,2025-12-14T15:48:39.947679,3,False,0,simple,2,minimax
6,Minimax_NoAB_simple_c2_d3,512,1082,490,440.22553277015686,False,3427096,0.8984194546329732,2025-12-14T15:56:00.174212,3,False,0,simple,2,minimax
7,Minimax_NoAB_simple_c2_d3,1024,1944,881,541.3200542926788,False,4336209,0.6144382001051973,2025-12-14T16:05:01.494267,3,False,0,simple,2,minimax
8,Minimax_NoAB_simple_c2_d3,512,1132,520,415.0694725513458,False,3344571,0.7982105241372035,2025-12-14T16:11:56.564716,3,False,0,simple,2,minimax
9,Minimax_NoAB_simple_c2_d3,1024,1650,736,544.939386844635,False,4389757,0.7404067756041236,2025-12-14T16:21:01.504576,3,False,0,simple,2,minimax
10,Minimax_NoAB_simple_c2_d3,256,632,278,241.26113510131836,False,1963922,0.8678458097169726,2025-12-14T16:25:02.766751,3,False,0,simple,2,minimax
11,Minimax_NoAB_simple_c2_d3,512,1078,481,414.20755219459534,False,3351517,0.8611383621509259,2025-12-14T16:31:56.974303,3,False,0,simple,2,minimax
12,Minimax_NoAB_simple_c2_d3,1024,1918,871,616.2274870872498,False,4973878,0.7074942446466702,2025-12-14T16:42:13.202686,3,False,0,simple,2,minimax
13,Minimax_NoAB_simple_c2_d3,1024,1812,807,677.5952548980713,False,5480588,0.8396471560075233,2025-12-14T16:53:30.798642,3,False,0,simple,2,minimax
14,Minimax_NoAB_simple_c2_d3,512,1068,481,407.3178644180298,False,3294369,0.8468146869397709,2025-12-14T17:00:18.117504,3,False,0,simple,2,minimax
15,Minimax_NoAB_simple_c2_d3,512,882,392,350.9273018836975,False,2840149,0.8952227088869834,2025-12-14T17:06:09.045301,3,False,0,simple,2,minimax
16,Minimax_NoAB_simple_c2_d3,1024,1508,681,532.4624617099762,False,4261789,0.7818832036857213,2025-12-14T17:15:01.508758,3,False,0,simple,2,minimax
17,Minimax_NoAB_simple_c2_d3,512,1114,502,371.7951068878174,False,2988760,0.7406277029637797,2025-12-14T17:21:13.303865,3,False,0,simple,2,minimax
18,Minimax_NoAB_simple_c2_d3,512,1054,466,414.797593832016,False,3363536,0.8901235919141974,2025-12-14T17:28:08.102460,3,False,0,simple,2,minimax
19,Minimax_NoAB_simple_c2_d3,512,1094,507,400.56511926651,False,3246675,0.7900692687702368,2025-12-14T17:34:48.668047,3,False,0,simple,2,minimax
