game_id,agent_name,max_tile,final_score,moves,time_seconds,won,nodes_explored,avg_time_per_move,timestamp,depth,alpha_beta,pruned_nodes,heuristic,config,algorithm
0,Minimax_AB_intermediate_c1_d3,1024,1788,818,188.5659511089325,False,831035,0.23052072262705683,2025-12-15T07:26:45.078429,3,True,7,intermediate,1,minimax
1,Minimax_AB_intermediate_c1_d3,1024,2368,1082,220.6057093143463,False,983130,0.20388697718516297,2025-12-15T07:30:25.684138,3,True,5,intermediate,1,minimax
2,Minimax_AB_intermediate_c1_d3,1024,2078,942,204.5131733417511,False,917668,0.21710527955599904,2025-12-15T07:33:50.198315,3,True,7,intermediate,1,minimax
3,Minimax_AB_intermediate_c1_d3,2048,2354,1073,206.41122937202454,True,907872,0.19236834051446836,2025-12-15T07:37:16.610043,3,True,282,intermediate,1,minimax
4,Minimax_AB_intermediate_c1_d3,1024,2448,1111,237.1118462085724,False,1057159,0.21342200378809395,2025-12-15T07:41:13.722891,3,True,9,intermediate,1,minimax
5,Minimax_AB_intermediate_c1_d3,1024,2180,985,224.19023156166077,False,1006432,0.22760429600168605,2025-12-15T07:44:57.913620,3,True,2,intermediate,1,minimax
6,Minimax_AB_intermediate_c1_d3,1024,1960,905,200.99881029129028,False,901189,0.2220981329185528,2025-12-15T07:48:18.913433,3,True,3,intermediate,1,minimax
7,Minimax_AB_intermediate_c1_d3,2048,2432,1107,213.43151831626892,True,948401,0.19280173289635855,2025-12-15T07:51:52.344951,3,True,167,intermediate,1,minimax
8,Minimax_AB_intermediate_c1_d3,1024,2002,916,193.54719829559326,False,847601,0.2112960680082896,2025-12-15T07:55:05.892651,3,True,6,intermediate,1,minimax
9,Minimax_AB_intermediate_c1_d3,512,1070,497,124.68415975570679,False,559209,0.2508735608766736,2025-12-15T07:57:10.576811,3,True,2,intermediate,1,minimax
10,Minimax_AB_intermediate_c1_d3,512,1110,496,121.77673983573914,False,542845,0.24551762063657084,2025-12-15T07:59:12.354226,3,True,2,intermediate,1,minimax
11,Minimax_AB_intermediate_c1_d3,512,1336,599,90.64259815216064,False,405770,0.15132320225736334,2025-12-15T08:00:42.997729,3,True,9,intermediate,1,minimax
12,Minimax_AB_intermediate_c1_d3,2048,2388,1099,236.99718403816223,True,1052041,0.21564802915210393,2025-12-15T08:04:39.995413,3,True,391,intermediate,1,minimax
13,Minimax_AB_intermediate_c1_d3,1024,1372,622,142.75993967056274,False,629777,0.2295175878947954,2025-12-15T08:07:02.755854,3,True,3,intermediate,1,minimax
14,Minimax_AB_intermediate_c1_d3,1024,1642,750,156.60205554962158,False,683133,0.20880274073282878,2025-12-15T08:09:39.358412,3,True,11,intermediate,1,minimax
15,Minimax_AB_intermediate_c1_d3,2048,2140,959,209.6780333518982,True,943336,0.21864237054421085,2025-12-15T08:13:09.036946,3,True,236,intermediate,1,minimax
16,Minimax_AB_intermediate_c1_d3,2048,2162,989,212.92732000350952,True,939017,0.21529557128767393,2025-12-15T08:16:41.965173,3,True,276,intermediate,1,minimax
17,Minimax_AB_intermediate_c1_d3,2048,2434,1118,258.7916224002838,True,1163077,0.23147730089470825,2025-12-15T08:21:00.756796,3,True,64,intermediate,1,minimax
18,Minimax_AB_intermediate_c1_d3,512,1542,699,138.07715559005737,False,615005,0.19753527266102627,2025-12-15T08:23:18.834946,3,True,2,intermediate,1,minimax
19,Minimax_AB_intermediate_c1_d3,2048,2412,1084,232.14915013313293,True,1030073,0.2141597325951411,2025-12-15T08:27:10.984572,3,True,356,intermediate,1,minimax
