game_id,agent_name,max_tile,final_score,moves,time_seconds,won,nodes_explored,avg_time_per_move,timestamp,depth,alpha_beta,pruned_nodes,heuristic,config,algorithm
0,Minimax_AB_simple_c2_d3,512,1090,488,82.24583220481873,False,475352,0.16853654140331706,2025-12-14T17:36:10.923941,3,True,3,simple,2,minimax
1,Minimax_AB_simple_c2_d3,512,1088,489,82.25329566001892,False,472952,0.16820714858899574,2025-12-14T17:37:33.177236,3,True,2,simple,2,minimax
2,Minimax_AB_simple_c2_d3,512,1074,481,78.90473532676697,False,455833,0.16404310878745731,2025-12-14T17:38:52.082972,3,True,7,simple,2,minimax
3,Minimax_AB_simple_c2_d3,512,1150,514,76.56481385231018,False,444005,0.14895878181383304,2025-12-14T17:40:08.647786,3,True,3,simple,2,minimax
4,Minimax_AB_simple_c2_d3,512,1074,495,81.18144226074219,False,466612,0.16400291365806502,2025-12-14T17:41:29.830067,3,True,4,simple,2,minimax
5,Minimax_AB_simple_c2_d3,512,950,437,73.8178014755249,False,427259,0.16891945417740253,2025-12-14T17:42:43.647869,3,True,5,simple,2,minimax
6,Minimax_AB_simple_c2_d3,512,1112,489,81.6964898109436,False,468435,0.16706848632094806,2025-12-14T17:44:05.344858,3,True,6,simple,2,minimax
7,Minimax_AB_simple_c2_d3,512,898,412,62.91800141334534,False,364647,0.15271359566345954,2025-12-14T17:45:08.263359,3,True,4,simple,2,minimax
8,Minimax_AB_simple_c2_d3,512,1082,485,75.80910873413086,False,431104,0.1563074406889296,2025-12-14T17:46:24.073165,3,True,4,simple,2,minimax
9,Minimax_AB_simple_c2_d3,512,1122,513,84.53378343582153,False,490654,0.1647832035785995,2025-12-14T17:47:48.607416,3,True,2,simple,2,minimax
10,Minimax_AB_simple_c2_d3,1024,1664,751,104.67570543289185,False,597632,0.13938176489066822,2025-12-14T17:49:33.284122,3,True,3,simple,2,minimax
11,Minimax_AB_simple_c2_d3,1024,2086,957,144.00588583946228,False,816623,0.1504763697382051,2025-12-14T17:51:57.290008,3,True,2,simple,2,minimax
12,Minimax_AB_simple_c2_d3,512,1136,525,88.78165078163147,False,505427,0.1691079062507266,2025-12-14T17:53:26.072290,3,True,23,simple,2,minimax
13,Minimax_AB_simple_c2_d3,512,1026,462,73.85046172142029,False,424916,0.15984948424549847,2025-12-14T17:54:39.923269,3,True,2,simple,2,minimax
14,Minimax_AB_simple_c2_d3,1024,1494,682,114.22829270362854,False,650702,0.1674901652545873,2025-12-14T17:56:34.152483,3,True,3,simple,2,minimax
15,Minimax_AB_simple_c2_d3,1024,1652,750,118.32151436805725,False,668062,0.15776201915740967,2025-12-14T17:58:32.473998,3,True,12,simple,2,minimax
16,Minimax_AB_simple_c2_d3,1024,1352,610,99.52793860435486,False,575642,0.16316055508910632,2025-12-14T18:00:12.002937,3,True,4,simple,2,minimax
17,Minimax_AB_simple_c2_d3,512,1024,465,76.74172949790955,False,438297,0.16503597741485923,2025-12-14T18:01:28.744667,3,True,7,simple,2,minimax
18,Minimax_AB_simple_c2_d3,512,1060,484,87.9808349609375,False,507007,0.18177858463003616,2025-12-14T18:02:56.726417,3,True,4,simple,2,minimax
19,Minimax_AB_simple_c2_d3,256,636,287,50.82489776611328,False,292583,0.1770902361188616,2025-12-14T18:03:47.551604,3,True,9,simple,2,minimax
