game_id,agent_name,max_tile,final_score,moves,time_seconds,won,nodes_explored,avg_time_per_move,timestamp,depth,alpha_beta,pruned_nodes,heuristic,config,algorithm
0,Minimax_NoAB_intermediate_c1_d3,1024,2560,1155,1207.652060508728,False,6532384,1.0455861995746563,2025-12-14T21:59:54.381079,3,False,0,intermediate,1,minimax
1,Minimax_NoAB_intermediate_c1_d3,1024,2392,1097,1092.2962172031403,False,5876474,0.9957121396564633,2025-12-14T22:18:06.677795,3,False,0,intermediate,1,minimax
2,Minimax_NoAB_intermediate_c1_d3,2048,2158,972,982.1712882518768,True,5279736,1.0104642883249761,2025-12-14T22:34:28.850158,3,False,0,intermediate,1,minimax
3,Minimax_NoAB_intermediate_c1_d3,2048,2156,969,1092.4412317276,True,5925498,1.1273903320202272,2025-12-14T22:52:41.291884,3,False,0,intermediate,1,minimax
4,Minimax_NoAB_intermediate_c1_d3,1024,2148,956,1086.9124014377594,False,5910112,1.1369376584076982,2025-12-14T23:10:48.204791,3,False,0,intermediate,1,minimax
5,Minimax_NoAB_intermediate_c1_d3,1024,1662,732,904.868620634079,False,4918183,1.2361593178061188,2025-12-14T23:25:53.073939,3,False,0,intermediate,1,minimax
6,Minimax_NoAB_intermediate_c1_d3,1024,2136,976,1039.0090041160583,False,5666042,1.064558405856617,2025-12-14T23:43:12.083851,3,False,0,intermediate,1,minimax
7,Minimax_NoAB_intermediate_c1_d3,512,1318,598,665.3218035697937,False,3627390,1.11257826683912,2025-12-14T23:54:17.406145,3,False,0,intermediate,1,minimax
8,Minimax_NoAB_intermediate_c1_d3,2048,2276,1046,1021.2356266975403,True,5382257,0.9763246909154305,2025-12-15T00:11:18.642873,3,False,0,intermediate,1,minimax
9,Minimax_NoAB_intermediate_c1_d3,2048,2372,1072,1071.1086120605469,True,5760824,0.9991684813997639,2025-12-15T00:29:09.751986,3,False,0,intermediate,1,minimax
10,Minimax_NoAB_intermediate_c1_d3,1024,1826,821,889.7508006095886,False,4795024,1.0837403174294624,2025-12-15T00:43:59.503786,3,False,0,intermediate,1,minimax
11,Minimax_NoAB_intermediate_c1_d3,2048,2352,1063,1078.9862232208252,True,5792834,1.015038780076035,2025-12-15T01:01:58.490513,3,False,0,intermediate,1,minimax
12,Minimax_NoAB_intermediate_c1_d3,512,1274,567,708.7323725223541,False,3876553,1.2499689109741696,2025-12-15T01:13:47.223860,3,False,0,intermediate,1,minimax
13,Minimax_NoAB_intermediate_c1_d3,2048,2120,979,1076.4046063423157,True,5802103,1.0994939799206493,2025-12-15T01:31:43.628925,3,False,0,intermediate,1,minimax
14,Minimax_NoAB_intermediate_c1_d3,2048,2144,965,1119.4997446537018,True,6042498,1.1601033623354422,2025-12-15T01:50:23.129675,3,False,0,intermediate,1,minimax
15,Minimax_NoAB_intermediate_c1_d3,256,790,355,16338.43125987053,False,2352260,46.023750027804304,2025-12-15T06:22:41.561143,3,False,0,intermediate,1,minimax
16,Minimax_NoAB_intermediate_c1_d3,1024,1788,809,975.2895140647888,False,5257798,1.2055494611431259,2025-12-15T06:38:56.851668,3,False,0,intermediate,1,minimax
17,Minimax_NoAB_intermediate_c1_d3,512,950,427,567.3157997131348,False,3134216,1.3286084302415333,2025-12-15T06:48:24.167935,3,False,0,intermediate,1,minimax
18,Minimax_NoAB_intermediate_c1_d3,1024,2298,1032,1107.4220542907715,False,6018934,1.07308338594067,2025-12-15T07:06:51.591456,3,False,0,intermediate,1,minimax
19,Minimax_NoAB_intermediate_c1_d3,2048,2110,946,1004.9029324054718,True,5468771,1.0622652562425705,2025-12-15T07:23:36.494669,3,False,0,intermediate,1,minimax
